[Panel Mapper],,,,,,,,,
"Version=""Version 3.3.0""",,,,,,,,,
"Date=""5/20/2021 10:14:02 AM""",,,,,,,,,
[Measurement Information],,,,,,,,,
Scan Start Time=3704317863.8,,,,,,,,,
Scan Completion Time=3704321572.9,,,,,,,,,
Recipe No=104,,,,,,,,,
Manual Measurement=TRUE,,,,,,,,,
GlassID=[Empty],,,,,,,,,
Operator ID=05842,,,,,,,,,
"Scan Start Time String=""5/20/2021 9:11:03 AM""",,,,,,,,,
"Scan Completion Time String=""5/20/2021 10:12:52 AM""",,,,,,,,,
[LCD Measurement Settings],,,,,,,,,
Number to Average at Each Point=16,,,,,,,,,
List of WLs=589.0,,,,,,,,,
Tilt rotation angles.<size(s)>=10,,,,,,,,,
Tilt rotation angles 0=0.0,-40,,,,,,,,
Tilt rotation angles 1=0.0,-20,,,,,,,,
Tilt rotation angles 2=0.0,0,,,,,,,,
Tilt rotation angles 3=0.0,20,,,,,,,,
Tilt rotation angles 4=0.0,40,,,,,,,,
Tilt rotation angles 5=90.0,40,,,,,,,,
Tilt rotation angles 6=90.0,20,,,,,,,,
Tilt rotation angles 7=90.0,0,,,,,,,,
Tilt rotation angles 8=90.0,-20,,,,,,,,
Tilt rotation angles 9=90.0,-40,,,,,,,,
[LCD Data],,,,,,,,,
Chip No.,x (mm),y (mm),cell gap (um),top R/D (?,twist (?,top pre-tilt (?,bottom pre-tilt (?,Rms (%),Iterations
1,110,88,2.788754,-89.798951,-0.358711,0.217897,0.284371,0.234885,95
1,120,88,2.785223,-89.83344,-0.306825,0.172722,0.29419,0.236027,90
1,130,88,2.78434,-89.748488,-0.465121,0.160405,0.290621,0.234502,96
1,145,88,2.778894,-89.703283,-0.564966,0.15402,0.324045,0.239447,85
1,150,88,2.777565,-89.687806,-0.574301,0.175448,0.254681,0.235028,90
1,95,54,5.065099,-89.942713,0.07323,11.643867,11.803952,5.701762,176
1,95,54.5,4.906627,-90.035828,-0.047917,17.058335,17.061207,6.145104,184
1,95,55,3.614326,-89.940732,-0.087392,0.266683,0.285547,9.35787,55
1,95,55.5,2.913791,-89.843725,-0.264107,0.387726,0.315597,0.618465,74
1,95,56,2.873566,-89.832531,-0.283316,0.310586,0.256002,0.406864,71
1,95,56.5,2.850168,-89.83748,-0.280249,0.275173,0.274308,0.340554,82
1,95,57,2.834142,-89.831823,-0.282468,0.307808,0.223211,0.299311,83
1,95,57.5,2.823461,-89.842579,-0.27146,0.224698,0.273247,0.268603,90
1,95,58,2.817141,-89.836694,-0.285705,0.248814,0.223657,0.255242,89
1,95,58.5,2.812725,-89.836511,-0.276505,0.217749,0.254485,0.245702,90
1,95,59,2.808826,-89.826747,-0.288946,0.234151,0.262888,0.23925,88
1,95,59.5,2.806449,-89.828202,-0.298336,0.224903,0.289859,0.231835,86
1,95,60,2.805075,-89.823549,-0.293566,0.192478,0.264247,0.225456,91
1,95,60.5,2.804757,-89.829046,-0.298275,0.244706,0.200415,0.220014,92
1,95,61,2.80533,-89.821623,-0.306848,0.231742,0.200697,0.223367,92
1,95,61.5,2.806314,-89.818307,-0.318233,0.192975,0.247836,0.222484,91
1,95,62,2.807574,-89.80702,-0.333751,0.215625,0.237203,0.219284,91
1,95,62.5,2.80817,-89.807652,-0.341029,0.18756,0.266914,0.223216,96
1,95,63,2.808648,-89.806832,-0.32912,0.194401,0.237143,0.22562,88
1,95,63.5,2.809119,-89.811806,-0.336864,0.192161,0.233741,0.224027,91
1,95,64,2.80978,-89.795131,-0.364084,0.213263,0.232348,0.226912,89
1,95,64.5,2.810351,-89.795187,-0.36578,0.210294,0.212219,0.225535,88
1,95,65,2.810751,-89.785305,-0.38041,0.240941,0.214085,0.220604,92
1,95,65.5,2.81048,-89.799492,-0.377476,0.226292,0.235376,0.228307,106
1,95,66,2.810954,-89.784185,-0.389974,0.20729,0.249208,0.231907,100
1,95,66.5,2.810494,-89.779514,-0.388453,0.223775,0.203341,0.226555,94
1,95,67,2.810031,-89.767087,-0.415585,0.203513,0.252073,0.225271,93
1,95,67.5,2.810445,-89.779801,-0.391564,0.198725,0.274352,0.231953,85
1,95,68,2.811453,-89.765706,-0.423329,0.186896,0.273873,0.225965,98
1,95,68.5,2.81112,-89.756627,-0.42668,0.209476,0.279679,0.22903,89
1,95,123,5.100345,135.349747,0.08637,0.011952,-0.210538,2.138949,261
1,95,122.5,5.079439,88.10505,-0.007568,35.104388,34.992636,12.553719,365
1,95,122,3.708019,89.968474,-0.060269,19.311342,18.776023,6.882531,174
1,95,121.5,3.019724,90.076073,-0.142677,5.455332,5.449483,6.99095,123
1,95,121,2.871393,90.092066,-0.12579,0.273793,0.172012,0.277792,99
1,95,120.5,2.834118,90.085498,-0.133331,0.303112,0.120234,0.246597,88
1,95,120,2.807924,90.089733,-0.128596,0.199199,0.116289,0.213069,102
1,95,119.5,2.7932,90.106213,-0.16169,0.071102,-0.044618,0.18519,88
1,95,119,2.785938,-89.904141,-0.137919,0.046622,0.16146,0.205414,85
1,95,118.5,2.783249,-89.901014,-0.143232,0.145366,0.170918,0.218995,91
1,95,118,2.783734,-89.890672,-0.163936,0.184575,0.232443,0.232076,82
1,95,117.5,2.784138,-89.895374,-0.169813,0.177141,0.246153,0.234193,85
1,95,117,2.785227,-89.881729,-0.187685,0.176947,0.311134,0.237772,87
1,95,116.5,2.78589,-89.88124,-0.166694,0.190838,0.273548,0.237734,83
1,95,116,2.78628,-89.872278,-0.193264,0.166664,0.292489,0.231524,81
1,95,115.5,2.786557,-89.884763,-0.196129,0.196914,0.244155,0.230038,91
1,95,115,2.786747,-89.878607,-0.209613,0.179039,0.267821,0.229989,82
1,95,114.5,2.786708,-89.87317,-0.204879,0.182181,0.261376,0.229891,87
1,95,114,2.78625,-89.86787,-0.216252,0.163907,0.25796,0.225788,90
1,95,113.5,2.786431,-89.844599,-0.238784,0.183227,0.258821,0.228758,85
1,95,113,2.785653,-89.852351,-0.250697,0.177766,0.234491,0.228728,82
1,95,112.5,2.785065,-89.847773,-0.245404,0.196221,0.223015,0.226446,87
1,95,112,2.784792,-89.842217,-0.259511,0.162491,0.270233,0.221744,82
1,95,111.5,2.784829,-89.850846,-0.254353,0.192909,0.230825,0.22646,85
1,95,111,2.784409,-89.840852,-0.265326,0.206223,0.263339,0.234852,92
1,95,110.5,2.784031,-89.835986,-0.255765,0.193257,0.243134,0.226846,82
1,95,110,2.783517,-89.843776,-0.267214,0.188797,0.235116,0.226034,84
1,95,109.5,2.782628,-89.831564,-0.276163,0.18335,0.258317,0.231884,87
1,95,109,2.781803,-89.828458,-0.289235,0.155666,0.264489,0.224119,93
1,95,108.5,2.78129,-89.824396,-0.319836,0.188139,0.235477,0.223751,95
1,130,54,5.05681,-89.845283,-0.020637,11.67869,11.716962,5.59143,155
1,130,54.5,4.555654,-89.917006,-0.181703,13.939754,14.041535,8.913809,139
1,130,55,3.368214,-89.696828,-0.611835,0.46388,0.159585,7.17936,58
1,130,55.5,2.922472,-89.543018,-0.871139,0.310163,0.310984,0.561658,85
1,130,56,2.884564,-89.549415,-0.871955,0.301156,0.259353,0.429312,92
1,130,56.5,2.857375,-89.517559,-0.919215,0.2946,0.277607,0.359517,93
1,130,57,2.837975,-89.528354,-0.890136,0.243549,0.245787,0.321264,89
1,130,57.5,2.824683,-89.521319,-0.925711,0.215854,0.268163,0.286537,92
1,130,58,2.816204,-89.535667,-0.893657,0.19589,0.278712,0.263134,95
1,130,58.5,2.809756,-89.528587,-0.89179,0.224636,0.280799,0.249489,98
1,130,59,2.805778,-89.517157,-0.93001,0.207721,0.304966,0.243088,89
1,130,59.5,2.802573,-89.540727,-0.885782,0.235144,0.235737,0.235531,87
1,130,60,2.800521,-89.54471,-0.885672,0.161357,0.277077,0.228612,93
1,130,60.5,2.800269,-89.534828,-0.877016,0.17074,0.250476,0.227292,98
1,130,61,2.800709,-89.537002,-0.88684,0.208358,0.233814,0.216945,89
