Data,M_Time,ID,Point,Station,Operator,Voltage,I.Time,AR_T%(¡æ),AR_T%(//),LCM_X%,LCM_Y%,LCM_Z%,RX,RY,RZ,GX,GY,GZ,BX,BY,BZ,WX,WY,WZ,CG%,R_x,R_y,G_x,G_y,B_x,B_y,W_x,W_y,RX_max,GY_max,BZ_max,V_RX_max,V_GY_max,V_BZ_max,WX',WY',WZ',W_x',W_x',LCM_X%max,LCM_Y%max,LCM_Z%max,£p_(Ymax),£p_(Ymax),£p_(Zmax),£p_tol_X,£p_tol_Y,£p_tol_Z,T0/Tmax_X,T0/Tmax_Y,T0/Tmax_Z,Vcri_X,Vcri_Y,Vcri_Z,d£p_X,d£p_Y,d£p_Z,
2021/03/30,16:32:10,T19BR001NP21,1,AOI-03,11067785,0.00,8,0.000071,0.540545,0.000107,0.000132,0.000103,0.0282,0.0142,0.0015,0.0370,0.0800,0.0119,0.0205,0.0104,0.1080,0.0857,0.1046,0.1214,74.5130,0.6431,0.3236,0.2870,0.6208,0.1477,0.0751,0.2750,0.3357,238.7001,447.3818,807.4307,14.4000,13.2000,12.8000,152.8408,63.4833,807.4441,0.1493,0.0620,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2021/03/30,16:32:11,T19BR001NP21,1,AOI-03,11067785,0.40,8,0.000167,0.540545,0.000320,0.000307,0.000266,0.1197,0.0625,0.0034,0.0873,0.1587,0.0190,0.0552,0.0200,0.2890,0.2622,0.2412,0.3114,68.9716,0.6449,0.3365,0.3295,0.5989,0.1516,0.0549,0.3218,0.2960,238.7001,447.3818,807.4307,14.4000,13.2000,12.8000,152.9826,63.6103,807.4532,0.1494,0.0621,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2021/03/30,16:32:12,T19BR001NP21,1,AOI-03,11067785,0.80,8,0.000193,0.540545,0.000315,0.000356,0.000190,0.1039,0.0567,0.0029,0.1085,0.1968,0.0189,0.0380,0.0204,0.1943,0.2504,0.2738,0.2161,65.2508,0.6357,0.3467,0.3346,0.6070,0.1504,0.0806,0.3383,0.3699,238.7001,447.3818,807.4307,14.4000,13.2000,12.8000,152.9880,63.6426,807.4525,0.1494,0.0621,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2021/03/30,16:32:13,T19BR001NP21,1,AOI-03,11067785,1.20,8,0.000185,0.540545,0.000326,0.000342,0.000281,0.1198,0.0641,0.0040,0.0903,0.1875,0.0237,0.0578,0.0262,0.2958,0.2679,0.2778,0.3235,72.1655,0.6376,0.3409,0.2995,0.6219,0.1522,0.0691,0.3082,0.3196,238.7001,447.3818,807.4307,14.4000,13.2000,12.8000,152.9857,63.6407,807.4585,0.1494,0.0621,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2021/03/30,16:32:15,T19BR001NP21,1,AOI-03,11067785,1.60,8,0.000615,0.540545,0.001010,0.001138,0.000754,0.2747,0.1517,0.0102,0.3581,0.6547,0.0454,0.1596,0.0608,0.8052,0.7924,0.8672,0.8607,67.1060,0.6293,0.3474,0.3384,0.6187,0.1556,0.0593,0.3144,0.3441,238.7001,447.3818,807.4307,14.4000,13.2000,12.8000,153.4084,64.1955,807.4863,0.1497,0.0626,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2021/03/30,16:32:16,T19BR001NP21,1,AOI-03,11067785,2.00,8,0.001460,0.540545,0.002420,0.002701,0.001981,0.6229,0.3533,0.0268,0.8464,1.5581,0.1171,0.4211,0.1548,2.1330,1.8905,2.0661,2.2769,65.7110,0.6211,0.3522,0.3357,0.6179,0.1554,0.0572,0.3033,0.3315,238.7001,447.3818,807.4307,14.4000,13.2000,12.8000,154.2450,65.3004,807.5746,0.1502,0.0636,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2021/03/30,16:32:17,T19BR001NP21,1,AOI-03,11067785,2.40,8,0.003766,0.540545,0.006580,0.006965,0.005922,1.9118,1.0379,0.0797,2.0690,3.9021,0.3874,1.2291,0.4606,6.3569,5.2099,5.4007,6.8240,68.5534,0.6311,0.3426,0.3254,0.6137,0.1527,0.0572,0.2988,0.3098,238.7001,447.3818,807.4307,14.4000,13.2000,12.8000,156.7564,68.3292,807.8978,0.1518,0.0661,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2021/03/30,16:32:18,T19BR001NP21,1,AOI-03,11067785,2.80,8,0.007749,0.540545,0.013758,0.014337,0.012907,4.0301,2.1575,0.1751,4.2317,7.9945,0.8805,2.6540,0.9927,13.8097,10.9157,11.1448,14.8653,68.9070,0.6334,0.3391,0.3229,0.6100,0.1520,0.0569,0.2956,0.3018,238.7001,447.3818,807.4307,14.4000,13.2000,12.8000,161.0373,73.5412,808.4863,0.1544,0.0705,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2021/03/30,16:32:19,T19BR001NP21,1,AOI-03,11067785,3.20,8,0.014879,0.540545,0.026737,0.027535,0.026159,7.9995,4.2423,0.3533,7.9601,15.2247,1.9838,5.3297,2.0668,28.0033,21.2893,21.5338,30.3403,69.1177,0.6351,0.3368,0.3163,0.6049,0.1506,0.0584,0.2910,0.2943,238.7001,447.3818,807.4307,14.4000,13.2000,12.8000,168.7352,82.8562,809.7678,0.1590,0.0781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2021/03/30,16:32:20,T19BR001NP21,1,AOI-03,11067785,3.60,8,0.026629,0.540545,0.047550,0.049283,0.046395,14.2678,7.5402,0.6302,14.2160,27.3059,3.7287,9.4130,3.7508,49.5465,37.8967,38.5969,53.9054,69.1397,0.6359,0.3360,0.3142,0.6034,0.1501,0.0598,0.2906,0.2960,238.7001,447.3818,807.4307,14.4000,13.2000,12.8000,181.2593,98.2352,811.7896,0.1661,0.0900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2021/03/30,16:32:21,T19BR001NP21,1,AOI-03,11067785,4.00,8,0.046079,0.540545,0.082671,0.085292,0.082328,24.8607,13.0932,1.1232,24.4226,47.1502,6.8599,16.6214,6.7079,87.7886,65.9047,66.9513,95.7717,69.1241,0.6362,0.3351,0.3114,0.6012,0.1496,0.0604,0.2883,0.2928,238.7001,447.3818,807.4307,14.4000,13.2000,12.8000,202.0589,123.6325,815.4138,0.1771,0.1083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2021/03/30,16:32:22,T19BR001NP21,1,AOI-03,11067785,4.40,8,0.072698,0.540545,0.130354,0.134572,0.130526,39.0872,20.5810,1.7838,38.4946,74.4332,11.0136,26.3159,10.6615,139.1243,103.8977,105.6757,151.9217,69.0794,0.6361,0.3349,0.3106,0.6006,0.1494,0.0605,0.2874,0.2923,238.7001,447.3818,807.4307,14.4000,13.2000,12.8000,230.3574,158.4033,820.2281,0.1905,0.1310,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2021/03/30,16:32:23,T19BR001NP21,1,AOI-03,11067785,4.80,8,0.107482,0.540545,0.192716,0.198960,0.192891,57.7967,30.4228,2.6395,56.8938,110.0761,16.2403,38.8891,15.7567,205.4999,153.5797,156.2557,224.3797,69.1303,0.6361,0.3348,0.3105,0.6008,0.1495,0.0606,0.2875,0.2925,238.7001,447.3818,807.4307,14.4000,13.2000,12.8000,267.4662,203.8881,826.3106,0.2061,0.1571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2021/03/30,16:32:24,T19BR001NP21,1,AOI-03,11067785,5.20,8,0.146697,0.540545,0.263257,0.271547,0.263765,79.0155,41.5993,3.6135,77.6210,150.1248,22.2981,53.1404,21.5588,280.9125,209.7768,213.2829,306.8242,69.0612,0.6361,0.3349,0.3104,0.6004,0.1494,0.0606,0.2874,0.2922,238.7001,447.3818,807.4307,14.4000,13.2000,12.8000,309.4120,255.1132,833.3424,0.2213,0.1825,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2021/03/30,16:32:25,T19BR001NP21,1,AOI-03,11067785,5.60,8,0.186270,0.540545,0.334603,0.344807,0.336029,100.6227,52.9254,4.6037,98.4455,190.5690,28.4254,67.6798,27.4467,357.8595,266.7480,270.9411,390.8885,69.1271,0.6362,0.3346,0.3101,0.6003,0.1494,0.0606,0.2873,0.2918,238.7001,447.3818,807.4307,14.4000,13.2000,12.8000,351.8438,306.8835,840.4598,0.2347,0.2047,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2021/03/30,16:32:26,T19BR001NP21,1,AOI-03,11067785,6.00,8,0.224763,0.540545,0.403875,0.416062,0.405722,121.5264,63.9024,5.5593,118.7739,229.8588,34.4597,81.6810,33.1684,432.0412,321.9813,326.9296,472.0601,69.0969,0.6363,0.3346,0.3100,0.6000,0.1494,0.0606,0.2872,0.2916,238.7001,447.3818,807.4307,14.4000,13.2000,12.8000,393.0759,357.1504,847.4497,0.2460,0.2235,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2021/03/30,16:32:27,T19BR001NP21,1,AOI-03,11067785,6.40,8,0.259774,0.540545,0.465802,0.480862,0.466249,140.0612,73.6974,6.3942,137.3495,265.8459,39.7091,93.8664,38.2636,496.3849,371.2770,377.8070,542.4882,69.0761,0.6362,0.3348,0.3101,0.6002,0.1493,0.0609,0.2875,0.2925,238.7001,447.3818,807.4307,14.4000,13.2000,12.8000,430.1862,402.9324,853.5340,0.2551,0.2389,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2021/03/30,16:32:28,T19BR001NP21,1,AOI-03,11067785,6.80,8,0.291727,0.540545,0.523626,0.539999,0.524127,157.6623,82.9148,7.1866,154.2613,298.3290,44.6786,105.5051,42.9788,558.0358,417.4287,424.2226,609.9011,69.0566,0.6363,0.3347,0.3102,0.5999,0.1493,0.0608,0.2876,0.2923,238.7001,447.3818,807.4307,14.4000,13.2000,12.8000,464.6992,444.6329,859.2960,0.2627,0.2514,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2021/03/30,16:32:29,T19BR001NP21,1,AOI-03,11067785,7.20,8,0.318042,0.540545,0.570105,0.588712,0.569322,171.7451,90.3429,7.8064,168.1947,325.3902,48.6197,114.6066,46.8015,606.1117,454.5464,462.5347,662.5378,69.0684,0.6363,0.3347,0.3102,0.6001,0.1493,0.0610,0.2878,0.2928,238.7001,447.3818,807.4307,14.4000,13.2000,12.8000,492.7154,479.1223,863.8569,0.2684,0.2610,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2021/03/30,16:32:30,T19BR001NP21,1,AOI-03,11067785,7.60,8,0.340096,0.540545,0.609512,0.629521,0.608136,184.0889,96.7959,8.3383,179.6562,347.8892,52.0807,122.4012,50.0998,647.3938,486.1464,494.7849,707.8129,69.1199,0.6365,0.3347,0.3100,0.6002,0.1493,0.0611,0.2879,0.2930,238.7001,447.3818,807.4307,14.4000,13.2000,12.8000,516.5207,508.0742,867.8498,0.2729,0.2685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2021/03/30,16:32:32,T19BR001NP21,1,AOI-03,11067785,8.00,8,0.357295,0.540545,0.639554,0.661357,0.636544,193.1411,101.5745,8.7253,188.8404,365.6556,54.5030,128.1545,52.5128,677.6987,510.1359,519.7429,740.9270,69.1328,0.6365,0.3347,0.3101,0.6004,0.1493,0.0612,0.2881,0.2935,238.7001,447.3818,807.4307,14.4000,13.2000,12.8000,534.7571,530.6192,870.6591,0.2762,0.2741,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
