BATCH,short-id,cellgap
2,1-22,2.915
2,1-23,2.934
2,1-25,2.914
2,1-26,2.957
2,1-27,3.212
2,1-28,2.993
2,1-29,2.982
2,1-30,3.031
2,1-31,3.242
2,1-32,3.07
2,2-11,2.932
2,2-12,2.794
2,2-13,2.719
2,2-14,2.759
2,2-15,2.931
2,2-16,3.036
2,2-17,2.863
2,2-18,3.007
2,2-22,2.867
2,2-23,2.852
2,4-11,3.008
2,4-12,3.004
2,4-13,2.925
2,4-14,3.012
2,4-15,2.976
2,4-16,2.995
2,4-17,3.07
2,4-18,3.03
2,4-19,2.986
2,4-20,3.016
2,5-13,3.046
2,5-14,3.243
2,5-15,3.024
2,5-16,3.021
2,5-17,2.954
2,5-18,2.985
2,5-19,2.996
2,5-20,3.048
2,5-21,3.075
2,5-23,3.1
2,6-14,3.048
2,6-15,2.978
2,6-16,3.112
2,6-17,3.286
2,6-18,2.912
2,6-19,2.9
2,6-20,2.926
2,6-21,2.933
2,6-22,2.954
2,6-23,2.998
1,1-1,3.307
1,1-2,3.169
1,1-3,3.071
1,1-4,2.989
1,1-5,2.958
1,1-6,2.898
1,1-7,2.9
1,1-8,2.908
1,1-9,2.972
1,1-10,2.938
1,2-1,2.808
1,2-2,2.737
1,2-3,2.709
1,2-4,2.697
1,2-5,2.724
1,2-6,3.017
1,2-7,2.618
1,2-8,2.641
1,2-9,2.792
1,2-10,2.855
1,3-1,3.016
1,3-2,2.998
1,3-3,3.107
1,3-4,2.985
1,3-5,3.006
1,3-6,2.986
1,3-7,2.893
1,3-8,3.201
1,3-9,2.983
1,3-10,3.018
1,4-1,2.846
1,4-2,2.848
1,4-3,2.835
1,4-4,3.044
1,4-5,2.885
1,4-6,2.951
1,4-7,2.875
1,4-8,3.318
1,4-9,2.95
1,4-10,3.063
1,5-1,3.209
1,5-2,3.018
1,5-3,2.966
1,5-5,2.96
1,5-6,2.924
1,5-7,2.981
1,5-8,2.98
1,5-9,2.952
1,5-11,2.977
1,5-12,2.973
1,6-2,3.127
1,6-3,3.039
1,6-5,3
1,6-6,3.1
1,6-7,3.01
1,6-8,3.033
1,6-9,2.991
1,6-11,2.983
1,6-12,3.121
1,6-13,3.054
