秖代ら戳	丁	ID	翴	翴	秖代	cell pos.	Target Vpk	Initial Vpk	OD_Rise	OD_fall	Normalized_V	Specific_target	Photo Sensor	放Sensor	放	玻珇	Rise-mean (10-90)	Rise-stdev (10-90)	Fall-mean (10-90)	Fall-stdev (10-90)	Rise-mean (5-95)	Rise-stdev (5-95)	Fall-mean (5-95)	Fall-stdev (5-95)	Vcom	Flicker	Base lv-mean	Top lv-mean	WXT (%)	BXT (%)	WXT_*	BXT_*	Overshooting or not	Overshooting %	獹ΛЮ丁	overshooting_peak	overshooting_top	(RisePeak-top)/top	(FallPeak-base)/base	delta_peak	delta_v	delta_m	c_a	peak	top	HLH_(Peak-Top)	HLH_area
2021/03/24	10:34:16	T19BU001NB0M	2	ART-R03	11067785	1	3.5	0.2	3.5	0.2	0	0	0	Dev3 : USB-TC01_ch0	22.068	TB2224CL	17.6561	0.0956784	9.65759	0.0656074	22.2669	0.124786	12.8736	0.0925635	0	0.000198157	0.00887337	1.89806	-	-	-	-	X	0.173888	0.22525	1.89842	1.89513	-0.41482	36.2676	0.00579488	0.00336896	8.5512e-007	0.010428	0.583248	1.89513	22044.8	0.0294289
2021/03/24	10:34:16	T19BU001NB0S	2	ART-R03	11067785	2	3.5	0.2	3.5	0.2	0	0	1	Dev3 : USB-TC01_ch0	22.068	TB2224CL	17.9612	0.0906442	10.0404	0.0783697	22.6885	0.142221	13.3862	0.0995831	0	0.000154855	0.00622161	1.8112	-	-	-	-	X	0.0973799	0.2085	1.8114	1.80964	-0.424708	52.8913	0.00583902	0.00353463	3.50976e-007	0.00756035	0.573831	1.80964	-1706.34	0.0039346
2021/03/24	10:34:17	T19BU001NB0C	1	ART-R03	11067785	10	3.5	0.2	3.5	0.2	0	0	2	Dev3 : USB-TC01_ch0	22.068	TB2224CL	18.8663	0.10244	10.8674	0.0999315	25.9782	1.13423	14.5029	0.12978	0	0.000133629	0.00518872	2.1084	-	-	-	-	X	0.156628	0.2751	2.10944	2.10614	-0.454594	83.907	0.00598466	0.00393962	5.98424e-007	0.0073306	0.544289	2.10614	60494.3	0.0325534
2021/03/24	10:34:17	T19BU001NB06	1	ART-R03	11067785	9	3.5	0.2	3.5	0.2	0	0	3	Dev3 : USB-TC01_ch0	22.068	TB2224CL	20.4621	0.162094	12.4302	0.130174	28.1177	0.172658	16.5923	0.1715	0	0.000142192	0.00650054	2.65342	-	-	-	-	X	0.141669	0.275	2.65373	2.64998	-0.490492	103.755	0.00613238	0.00473463	6.32613e-007	0.00726623	0.508302	2.64998	-137134	0.0406187
2021/03/24	10:34:35	T19BU001NB0M	2	ART-R03	11067785	1	4	0.2	4	0.2	0	0	0	Dev3 : USB-TC01_ch0	22.498	TB2224CL	13.7387	0.322524	9.74055	0.0513619	19.0832	0.623711	12.9423	0.0729294	0	0.000242742	0.00875843	2.23445	-	-	-	-	X	0.0999819	0.2422	2.24876	2.24651	-0.323069	47.253	0.00525496	0.00229889	5.44717e-007	0.00297862	0.675672	2.24651	583.159	0.004639
2021/03/24	10:34:35	T19BU001NB0S	2	ART-R03	11067785	2	4	0.2	4	0.2	0	0	1	Dev3 : USB-TC01_ch0	22.498	TB2224CL	13.8617	0.262939	10.0851	0.0532006	19.1073	0.570649	13.4074	0.0735222	0	0.000193254	0.00617286	2.1178	-	-	-	-	X	0.138792	0.22515	2.13794	2.13498	-0.328771	66.7808	0.00529487	0.00237517	6.03206e-007	0.00338667	0.670279	2.13498	-95735.4	0.033083
2021/03/24	10:34:35	T19BU001NB0C	1	ART-R03	11067785	10	4	0.2	4	0.2	0	0	2	Dev3 : USB-TC01_ch0	22.498	TB2224CL	14.513	0.349815	10.8528	0.0980859	19.7133	0.576169	14.4379	0.126713	0	0.000105252	0.00519273	2.45503	-	-	-	-	V	1.53874	0.25895	2.48312	2.44549	-0.34579	98.0222	0.00540197	0.00210458	6.58202e-005	0.00152549	0.653475	2.44549	-161353	0.0383338
2021/03/24	10:34:35	T19BU001NB06	1	ART-R03	11067785	9	4	0.2	4	0.2	0	0	3	Dev3 : USB-TC01_ch0	22.498	TB2224CL	16.8421	0.129736	12.3507	0.119559	21.1287	0.16953	16.4288	0.14518	0	0.000101568	0.00645351	3.05901	-	-	-	-	V	1.30988	0.22575	3.09536	3.05534	-0.383733	121.803	0.00556922	0.00259846	5.63341e-005	0	0.615454	3.05534	1.50778e+006	0.0473324
2021/03/24	10:34:53	T19BU001NB0M	2	ART-R03	11067785	1	4.5	0.2	4.5	0.2	0	0	0	Dev3 : USB-TC01_ch0	22.238	TB2224CL	11.8076	0.0410599	9.7989	0.0359486	14.9716	0.0584609	12.9844	0.0504994	0	0.000122327	0.00870266	2.44866	-	-	-	-	V	1.30159	0.1763	2.47884	2.44699	-0.241028	50.4947	0.00475896	0.00118459	5.20673e-005	0	0.758112	2.44699	114683	0.0383684
2021/03/24	10:34:54	T19BU001NB0S	2	ART-R03	11067785	2	4.5	0.2	4.5	0.2	0	0	1	Dev3 : USB-TC01_ch0	22.238	TB2224CL	12.0655	0.201635	10.1155	0.0558258	15.7076	1.00929	13.4171	0.0725263	0	9.57694e-005	0.00613194	2.32716	-	-	-	-	V	1.21219	0.25945	2.3484	2.32027	-0.244902	73.1301	0.00475618	0.00122227	4.99911e-005	0	0.754455	2.32027	-385621	0.0363348
