Data,M_Time,ID,Point,Station,Operator,Voltage,I.Time,AR_T%(¡æ),AR_T%(//),LCM_X%,LCM_Y%,LCM_Z%,RX,RY,RZ,GX,GY,GZ,BX,BY,BZ,WX,WY,WZ,CG%,R_x,R_y,G_x,G_y,B_x,B_y,W_x,W_y,RX_max,GY_max,BZ_max,V_RX_max,V_GY_max,V_BZ_max,WX',WY',WZ',W_x',W_x',LCM_X%max,LCM_Y%max,LCM_Z%max,£p_(Ymax),£p_(Ymax),£p_(Zmax),£p_tol_X,£p_tol_Y,£p_tol_Z,T0/Tmax_X,T0/Tmax_Y,T0/Tmax_Z,Vcri_X,Vcri_Y,Vcri_Z,d£p_X,d£p_Y,d£p_Z,
2021/06/10,18:01:14,T108C001NM21,1,AOI-03,11067785,0.00,8,0.000031,0.560134,0.000052,0.000056,0.000061,0.0180,0.0088,0.0009,0.0135,0.0313,0.0089,0.0114,0.0065,0.0630,0.0429,0.0466,0.0728,72.6593,0.6494,0.3173,0.2511,0.5837,0.1414,0.0800,0.2646,0.2871,185.7889,382.6979,929.3198,16.4000,16.8000,14.8000,175.0630,62.2932,929.3296,0.1501,0.0534,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2021/06/10,18:01:15,T108C001NM21,1,AOI-03,11067785,0.40,8,0.000057,0.560134,0.000128,0.000103,0.000217,0.0328,0.0157,0.0030,0.0251,0.0556,0.0139,0.0436,0.0121,0.2329,0.1015,0.0833,0.2498,74.5003,0.6380,0.3047,0.2653,0.5875,0.1510,0.0418,0.2335,0.1917,185.7889,382.6979,929.3198,16.4000,16.8000,14.8000,175.0894,62.3243,929.3366,0.1501,0.0534,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2021/06/10,18:01:16,T108C001NM21,1,AOI-03,11067785,0.80,8,0.000035,0.560134,0.000079,0.000062,0.000134,0.0192,0.0095,0.0021,0.0158,0.0332,0.0110,0.0266,0.0077,0.1415,0.0616,0.0504,0.1546,66.9208,0.6250,0.3075,0.2631,0.5531,0.1514,0.0437,0.2312,0.1889,185.7889,382.6979,929.3198,16.4000,16.8000,14.8000,175.0665,62.2957,929.3329,0.1501,0.0534,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2021/06/10,18:01:17,T108C001NM21,1,AOI-03,11067785,1.20,8,0.000109,0.560134,0.000178,0.000195,0.000168,0.0545,0.0293,0.0023,0.0551,0.1120,0.0135,0.0347,0.0137,0.1801,0.1443,0.1551,0.1959,71.5858,0.6329,0.3406,0.3050,0.6202,0.1518,0.0601,0.2913,0.3131,185.7889,382.6979,929.3198,16.4000,16.8000,14.8000,175.1411,62.3944,929.3356,0.1501,0.0535,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2021/06/10,18:01:18,T108C001NM21,1,AOI-03,11067785,1.60,8,0.000292,0.560134,0.000535,0.000523,0.000669,0.1016,0.0599,0.0092,0.1662,0.2994,0.0359,0.1391,0.0378,0.7221,0.4070,0.3970,0.7673,60.0497,0.5953,0.3506,0.3314,0.5970,0.1548,0.0420,0.2590,0.2527,185.7889,382.6979,929.3198,16.4000,16.8000,14.8000,175.2993,62.6123,929.3649,0.1502,0.0536,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2021/06/10,18:01:19,T108C001NM21,1,AOI-03,11067785,2.00,8,0.001122,0.560134,0.002079,0.002006,0.002589,0.4156,0.2359,0.0355,0.6278,1.1463,0.1222,0.5395,0.1398,2.7880,1.5829,1.5219,2.9457,63.3235,0.6050,0.3434,0.3311,0.6045,0.1556,0.0403,0.2616,0.2515,185.7889,382.6979,929.3198,16.4000,16.8000,14.8000,176.0748,63.6352,929.4774,0.1506,0.0544,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2021/06/10,18:01:20,T108C001NM21,1,AOI-03,11067785,2.40,8,0.003096,0.560134,0.005696,0.005543,0.007164,1.3283,0.7265,0.0964,1.6092,3.1628,0.3536,1.4870,0.4305,7.7245,4.4245,4.3199,8.1745,69.0091,0.6175,0.3377,0.3140,0.6171,0.1542,0.0446,0.2615,0.2553,185.7889,382.6979,929.3198,16.4000,16.8000,14.8000,177.9690,66.1424,929.7697,0.1516,0.0563,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2021/06/10,18:01:21,T108C001NM21,1,AOI-03,11067785,2.80,8,0.006916,0.560134,0.012601,0.012377,0.015596,3.0095,1.6275,0.2123,3.5834,7.0109,0.9311,3.1898,1.0140,16.6991,9.7827,9.6524,17.8425,68.4365,0.6206,0.3356,0.3109,0.6083,0.1526,0.0485,0.2624,0.2589,185.7889,382.6979,929.3198,16.4000,16.8000,14.8000,181.6244,70.8915,930.4632,0.1535,0.0599,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2021/06/10,18:01:22,T108C001NM21,1,AOI-03,11067785,3.20,8,0.014354,0.560134,0.026458,0.025687,0.033233,6.7129,3.5662,0.4539,7.2641,14.3646,2.2643,6.7306,2.2519,35.5446,20.7076,20.1827,38.2628,68.9310,0.6254,0.3323,0.3040,0.6012,0.1512,0.0506,0.2616,0.2550,185.7889,382.6979,929.3198,16.4000,16.8000,14.8000,189.0085,80.1838,932.0379,0.1573,0.0668,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2021/06/10,18:01:23,T108C001NM21,1,AOI-03,11067785,3.60,8,0.027095,0.560134,0.049956,0.048491,0.063128,12.7262,6.7430,0.8678,13.6577,27.0481,4.5724,12.7104,4.3736,67.3400,39.0943,38.1647,72.7801,68.5821,0.6258,0.3316,0.3016,0.5974,0.1506,0.0518,0.2606,0.2544,185.7889,382.6979,929.3198,16.4000,16.8000,14.8000,201.4154,96.0442,934.7599,0.1635,0.0779,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
