秖代ら戳	丁	ID	翴	翴	秖代	cell pos.	Target Vpk	Initial Vpk	OD_Rise	OD_fall	Normalized_V	Specific_target	Photo Sensor	放Sensor	放	玻珇	Rise-mean (10-90)	Rise-stdev (10-90)	Fall-mean (10-90)	Fall-stdev (10-90)	Rise-mean (5-95)	Rise-stdev (5-95)	Fall-mean (5-95)	Fall-stdev (5-95)	Vcom	Flicker	Base lv-mean	Top lv-mean	WXT (%)	BXT (%)	WXT_*	BXT_*	Overshooting or not	Overshooting %	獹ΛЮ丁	overshooting_peak	overshooting_top	(RisePeak-top)/top	(FallPeak-base)/base	delta_peak	delta_v	delta_m	c_a	peak	top	HLH_(Peak-Top)	HLH_area
2021/06/10	11:07:58	T108C001NM21	2	ART-R03	21004350	1	3.5	0.2	3.5	0.2	0	0	0	Dev3 : USB-TC01_ch0	2066.069	TB2224CL	10.8349	0.0874981	6.32444	0.0818862	13.6615	0.112019	8.48403	0.110812	0	0.000425403	0.0046782	1.79456	-	-	-	-	X	0.178255	0.2417	1.79329	1.7901	-0.190565	23.6156	0.00445777	0.00122473	6.29023e-007	0.0226247	0.808935	1.7901	75.5985	0.00244003
2021/06/10	11:07:59	T108C001NM27	2	ART-R03	21004350	2	3.5	0.2	3.5	0.2	0	0	1	Dev3 : USB-TC01_ch0	2066.069	TB2224CL	10.6318	0.112326	6.07772	0.099534	13.4105	0.158062	8.14371	0.134704	0	0.00039546	0.00328709	1.65935	-	-	-	-	X	0.177607	0.2252	1.65627	1.65334	-0.177929	27.2006	0.00438846	0.00106822	7.06757e-007	0.0230806	0.821723	1.65334	36.4202	0.00215002
2021/06/10	11:07:59	T108C001NM2K	1	ART-R03	21004350	10	3.5	0.2	3.5	0.2	0	0	2	Dev3 : USB-TC01_ch0	2066.069	TB2224CL	11.8556	0.186508	7.29681	0.140685	15.1237	0.251343	9.73974	0.195024	0	0.000240361	0.00630117	2.03592	-	-	-	-	X	0.442907	0.17525	2.03455	2.02558	-0.2326	27.7084	0.00477019	0.00134784	2.51064e-006	0.0163085	0.76667	2.02558	-3.07993e+006	0.03193
2021/06/10	11:07:59	T108C001NM2E	1	ART-R03	21004350	9	3.5	0.2	3.5	0.2	0	0	3	Dev3 : USB-TC01_ch0	2066.069	TB2224CL	11.4493	0.176062	6.82139	0.13706	14.5549	0.226561	9.14469	0.192326	0	0.000369064	0.00390567	2.16564	-	-	-	-	X	0.447843	0.27525	2.16384	2.1542	-0.215622	40.094	0.00466841	0.00125737	2.52906e-006	0.0180376	0.783989	2.1542	69.9298	0.00319037
2021/06/10	11:07:59	T108C001NM2X	2	ART-R03	21004350	17	3.5	0.2	3.5	0.2	0	0	4	Dev3 : USB-TC01_ch0	2066.069	TB2224CL	16.3608	0.142692	11.4551	0.184632	21.159	0.340751	15.2483	0.243956	0	0.000142341	0.00630229	2.2316	-	-	-	-	X	0.0642121	0.27085	2.23373	2.2323	-0.347049	192.01	0.00528762	0.00255282	6.55052e-007	0	0.651974	2.2323	-40547.5	0.0344649
2021/06/10	11:07:59	T108C001NM24	2	ART-R03	21004350	18	3.5	0.2	3.5	0.2	0	0	5	Dev3 : USB-TC01_ch0	2066.069	TB2224CL	11.3659	0.170238	7.03087	0.125305	14.6236	0.19979	9.39293	0.16643	0	0.000175143	0.00329317	1.6791	-	-	-	-	X	0.10966	0.20825	1.6782	1.67636	-0.216597	41.9646	0.00457516	0.00118747	4.28953e-007	0.00657465	0.782983	1.67636	74.4763	0.00259733
2021/06/10	11:08:00	NAN	1	ART-R03	21004350	26	3.5	0.2	3.5	0.2	0	0	6	Dev3 : USB-TC01_ch0	2066.069	TB2224CL	5.5068	0.0605157	2.47352	0.0272421	7.18185	0.13401	3.39575	0.0454432	0	0.00149747	0.000750338	0.0794493	-	-	-	-	V	4.4165	0.24165	0.0830642	0.0795508	-0.0384835	-0.175687	0.00272199	0.000311624	1.02933e-005	0.112038	0.961131	0.0795508	-6.35075	1.79335e-007
2021/06/10	11:08:00	NAN	1	ART-R03	21004350	25	3.5	0.2	3.5	0.2	0	0	7	Dev3 : USB-TC01_ch0	2066.069	TB2224CL	10.7425	0.0904741	2.53024	0.0379276	12.7952	0.192443	3.47909	0.120176	0	0.0020752	0.00100144	0.0442599	-	-	-	-	V	6.56514	0.16675	0.0473633	0.0444454	-0.145147	-0.146188	0.00438501	0.00128039	2.92842e-005	0.140371	0.85154	0.0444454	41.9302	2.34255e-007
2021/06/10	11:08:28	T108C001NM21	2	ART-R03	21004350	1	4	0.2	4	0.2	0	0	0	Dev3 : USB-TC01_ch0	2066.069	TB2224CL	9.37876	0.0553727	6.22599	0.0541386	11.8447	0.0774234	8.32453	0.0766164	0	0.000145457	0.00462338	2.07248	-	-	-	-	X	0.312772	0.22505	2.07486	2.06839	-0.125101	26.7901	0.00387128	0.000698096	1.0265e-006	0.0130947	0.874621	2.06839	57.9116	0.00197522
2021/06/10	11:08:29	T108C001NM27	2	ART-R03	21004350	2	4	0.2	4	0.2	0	0	1	Dev3 : USB-TC01_ch0	2066.069	TB2224CL	9.14504	0.0764707	5.91782	0.0739548	11.5598	0.0929708	7.90795	0.0994487	0	0.000142611	0.00320467	1.91475	-	-	-	-	X	0.0870654	0.2083	1.91157	1.90991	-0.112093	30.5325	0.00378137	0.000754994	5.9302e-007	0.0151489	0.887719	1.90991	-85.4431	0.00206993
2021/06/10	11:08:29	T108C001NM2K	1	ART-R03	21004350	10	4	0.2	4	0.2	0	0	2	Dev3 : USB-TC01_ch0	2066.069	TB2224CL	9.92691	0.11835	7.02188	0.119765	12.6617	0.161083	9.34567	0.159704	0	0.000131001	0.00624132	2.32307	-	-	-	-	X	0.189991	0.10855	2.3197	2.3153	-0.150621	30.8509	0.00413617	0.000807954	6.52813e-007	0.00660729	0.848971	2.3153	507.072	0.00343769
2021/06/10	11:08:29	T108C001NM2E	1	ART-R03	21004350	9	4	0.2	4	0.2	0	0	3	Dev3 : USB-TC01_ch0	2066.069	TB2224CL	9.66234	0.113806	6.56303	0.110811	12.2558	0.157045	8.77613	0.147571	0	0.000172786	0.00380125	2.48949	-	-	-	-	X	0.263709	0.1918	2.48644	2.4799	-0.135744	43.5965	0.00400672	0.000753931	8.87192e-007	0.0114629	0.864045	2.4799	207.939	0.00357229
2021/06/10	11:08:29	T108C001NM2X	2	ART-R03	21004350	17	4	0.2	4	0.2	0	0	4	Dev3 : USB-TC01_ch0	2066.069	TB2224CL	12.6602	0.129224	11.2384	0.126009	17.3325	0.0789585	14.9362	0.171094	0	4.50823e-005	0.00618767	2.52344	-	-	-	-	X	0.0876022	0.2027	2.52654	2.52433	-0.249813	266.677	0.00463653	0.00164855	2.21543e-007	0	0.749581	2.52433	106055	0.0388136
